geoid,name,B16007001,"B16007001, Error",B16007002,"B16007002, Error",B16007003,"B16007003, Error",B16007004,"B16007004, Error",B16007005,"B16007005, Error",B16007006,"B16007006, Error",B16007007,"B16007007, Error",B16007008,"B16007008, Error",B16007009,"B16007009, Error",B16007010,"B16007010, Error",B16007011,"B16007011, Error",B16007012,"B16007012, Error",B16007013,"B16007013, Error",B16007014,"B16007014, Error",B16007015,"B16007015, Error",B16007016,"B16007016, Error",B16007017,"B16007017, Error",B16007018,"B16007018, Error",B16007019,"B16007019, Error"
14000US42101032500,"Census Tract 325, Philadelphia, PA",5641,626,1163,272,1083,254,80,78,0,15,0,15,0,15,3711,485,2753,437,427,251,171,166,313,260,47,74,767,150,500,176,72,80,80,87,115,122,0,15
14000US42101032600,"Census Tract 326, Philadelphia, PA",6834,820,1239,393,695,284,374,221,62,92,108,162,0,15,4783,571,3176,577,598,472,409,387,363,248,237,323,812,142,713,154,11,29,53,54,35,59,0,15
14000US42101032900,"Census Tract 329, Philadelphia, PA",3588,357,643,189,474,150,120,143,49,71,0,10,0,10,2570,288,1720,260,444,286,274,217,119,86,13,23,375,99,270,69,56,76,10,17,39,43,0,10
14000US42101033000,"Census Tract 330, Philadelphia, PA",7617,934,1550,390,1230,421,271,274,0,15,49,60,0,15,5346,736,3827,681,962,507,252,189,261,220,44,75,721,109,603,95,71,83,47,45,0,15,0,15
14000US42101033101,"Census Tract 331.01, Philadelphia, PA",4608,501,828,214,719,198,76,68,0,15,0,15,33,53,3211,380,2774,377,214,122,63,80,116,82,44,51,569,71,544,67,0,15,15,22,10,15,0,15
14000US42101033102,"Census Tract 331.02, Philadelphia, PA",3620,357,501,168,442,159,24,35,35,33,0,10,0,10,2657,289,2183,278,98,51,225,156,22,34,129,140,462,98,399,100,24,34,30,26,9,15,0,10
14000US42101033200,"Census Tract 332, Philadelphia, PA",2788,212,663,115,371,133,87,59,101,92,91,88,13,21,1830,153,1017,204,215,128,244,124,327,151,27,30,295,54,253,49,0,10,16,20,12,17,14,22
14000US42101033300,"Census Tract 333, Philadelphia, PA",3853,296,385,117,301,132,39,57,14,21,31,35,0,10,2112,189,1494,234,255,259,211,142,109,80,43,57,1356,138,1076,134,67,59,145,62,63,63,5,12
14000US42101033400,"Census Tract 334, Philadelphia, PA",5168,595,809,322,532,246,8,18,197,147,65,61,7,13,3246,344,1707,300,130,92,1029,301,321,220,59,66,1113,194,626,177,67,51,357,133,38,57,25,24
14000US42101033500,"Census Tract 335, Philadelphia, PA",3554,397,529,170,140,88,95,94,230,100,41,51,23,34,2427,269,1135,205,330,187,532,217,306,158,124,121,598,126,310,86,53,38,195,154,40,34,0,10
14000US42101033600,"Census Tract 336, Philadelphia, PA",6364,398,822,231,348,257,89,123,80,90,39,45,266,203,4688,310,2866,375,477,217,451,199,160,127,734,334,854,175,543,167,121,124,134,94,56,80,0,15
14000US42101033701,"Census Tract 337.01, Philadelphia, PA",6325,855,1283,376,1080,398,54,93,60,78,18,30,71,125,3863,665,2065,586,401,147,711,378,184,124,502,299,1179,192,487,200,184,194,401,159,45,54,62,104
14000US42101033702,"Census Tract 337.02, Philadelphia, PA",4742,385,880,161,640,118,51,43,0,10,189,104,0,10,2865,260,1486,320,135,86,440,268,682,268,122,160,997,162,740,187,63,101,101,79,13,28,80,101
14000US42101033800,"Census Tract 338, Philadelphia, PA",5991,564,1082,256,726,259,67,75,265,196,0,15,24,44,3830,451,2332,385,586,193,798,356,90,103,24,43,1079,195,888,186,65,101,105,68,21,33,0,15
14000US42101033900,"Census Tract 339, Philadelphia, PA",2930,161,502,97,367,105,0,10,56,69,65,68,14,22,2004,159,1434,181,130,66,100,64,234,171,106,124,424,75,378,87,10,15,28,41,8,12,0,10
14000US42101034000,"Census Tract 340, Philadelphia, PA",2925,194,579,115,468,135,39,44,0,10,72,58,0,10,1711,134,1332,175,158,71,81,55,109,85,31,46,635,143,436,133,31,35,168,104,0,10,0,10
14000US42101034100,"Census Tract 341, Philadelphia, PA",5500,588,886,396,849,384,0,15,0,15,37,59,0,15,3748,374,3149,398,31,34,241,188,327,274,0,15,866,116,768,111,25,60,32,40,41,54,0,15
14000US42101034200,"Census Tract 342, Philadelphia, PA",3178,214,421,125,354,127,21,31,46,51,0,10,0,10,1703,184,1413,241,29,28,93,66,39,43,129,123,1054,118,996,112,8,18,50,50,0,10,0,10
14000US42101034400,"Census Tract 344, Philadelphia, PA",7545,441,1073,154,838,161,69,62,99,100,67,88,0,15,4531,332,2967,436,166,114,774,351,624,254,0,15,1941,174,1480,209,36,52,167,96,258,142,0,15
14000US42101034501,"Census Tract 345.01, Philadelphia, PA",3919,405,468,111,400,107,0,10,68,60,0,10,0,10,2248,422,1183,249,398,393,448,186,184,111,35,36,1203,164,635,139,110,108,388,133,30,35,40,49
14000US42101034502,"Census Tract 345.02, Philadelphia, PA",5168,376,912,241,485,244,37,63,278,125,24,33,88,78,3248,257,1486,273,144,136,1006,275,168,133,444,228,1008,163,522,200,0,15,343,183,107,107,36,56
14000US42101034600,"Census Tract 346, Philadelphia, PA",2400,322,288,137,212,138,0,10,36,37,25,38,15,23,1747,231,1177,252,194,112,212,99,124,82,40,44,365,119,288,117,25,28,47,38,5,10,0,10
14000US42101034701,"Census Tract 347.01, Philadelphia, PA",6366,499,809,219,477,259,14,22,217,122,12,24,89,81,4389,400,2496,398,316,279,995,508,281,165,301,202,1168,99,822,169,70,63,179,149,82,67,15,24
14000US42101034702,"Census Tract 347.02, Philadelphia, PA",3492,199,418,106,361,100,44,33,0,10,0,10,13,19,2461,157,1768,205,297,110,77,59,294,159,25,36,613,81,502,94,0,10,68,44,43,57,0,10
14000US42101034801,"Census Tract 348.01, Philadelphia, PA",4451,236,680,126,583,128,38,41,31,44,28,43,0,10,2719,237,2267,258,172,186,170,120,81,95,29,46,1052,112,989,112,12,19,0,10,51,64,0,10
14000US42101034802,"Census Tract 348.02, Philadelphia, PA",5226,434,1108,156,859,240,168,184,17,28,0,15,64,109,3365,425,2877,421,270,177,124,104,0,15,94,99,753,148,620,178,0,15,46,53,87,124,0,15
14000US42101034803,"Census Tract 348.03, Philadelphia, PA",3962,281,428,93,311,87,82,78,35,30,0,10,0,10,2680,262,1984,314,372,298,301,196,23,28,0,10,854,89,767,91,45,47,33,29,0,10,9,15
14000US42101034900,"Census Tract 349, Philadelphia, PA",4971,794,551,284,304,197,160,177,0,15,50,80,37,60,3655,599,2817,551,671,330,42,53,125,147,0,15,765,153,730,154,15,24,15,27,5,16,0,15
14000US42101035100,"Census Tract 351, Philadelphia, PA",4069,344,314,89,314,89,0,10,0,10,0,10,0,10,2294,301,1953,298,59,55,66,45,158,144,58,71,1461,206,1345,196,7,14,81,85,28,43,0,10
14000US42101035200,"Census Tract 352, Philadelphia, PA",4535,330,657,156,596,161,29,33,10,16,22,25,0,10,2851,272,2538,259,104,74,100,60,96,109,13,24,1027,95,976,102,4,8,26,23,21,22,0,10
14000US42101035301,"Census Tract 353.01, Philadelphia, PA",5091,347,869,187,869,187,0,15,0,15,0,15,0,15,3444,341,2954,419,175,126,240,260,75,61,0,15,778,136,688,133,25,27,36,31,29,27,0,15
14000US42101035302,"Census Tract 353.02, Philadelphia, PA",4110,279,578,142,578,142,0,10,0,10,0,10,0,10,2704,225,2408,218,82,69,125,79,38,70,51,65,828,172,777,175,29,25,20,23,2,18,0,10
14000US42101035500,"Census Tract 355, Philadelphia, PA",7453,517,1175,200,661,238,21,34,239,155,48,79,206,178,4745,409,2653,491,84,65,1344,399,342,276,322,240,1533,182,924,184,11,23,509,175,89,61,0,15
14000US42101035601,"Census Tract 356.01, Philadelphia, PA",5067,529,513,143,313,159,0,15,114,98,60,68,26,47,2821,393,1350,406,72,83,942,372,444,280,13,23,1733,268,933,223,0,15,699,224,101,89,0,15
14000US42101035602,"Census Tract 356.02, Philadelphia, PA",3489,211,522,112,447,136,16,23,36,37,23,36,0,10,2325,172,1545,189,42,32,379,151,335,93,24,36,642,89,451,109,23,23,68,57,100,60,0,10
14000US42101035701,"Census Tract 357.01, Philadelphia, PA",4610,310,738,167,151,84,28,45,183,103,371,155,5,9,3065,263,787,246,188,124,903,238,1088,256,99,88,807,139,357,107,0,10,345,128,105,78,0,10
14000US42101035702,"Census Tract 357.02, Philadelphia, PA",3821,349,604,183,104,61,88,109,272,156,128,121,12,19,2734,227,779,185,63,41,1421,244,401,214,70,82,483,119,188,74,0,10,202,98,93,64,0,10
14000US42101035800,"Census Tract 358, Philadelphia, PA",6392,473,890,310,564,269,0,15,269,227,57,96,0,15,3887,365,1409,447,76,72,1757,605,620,293,25,40,1615,196,656,160,38,36,835,286,86,79,0,15
14000US42101035900,"Census Tract 359, Philadelphia, PA",5279,363,653,153,514,157,51,80,35,44,53,70,0,15,3244,331,2104,307,283,200,534,273,307,140,16,27,1382,199,633,159,0,15,607,206,142,78,0,15
14000US42101036000,"Census Tract 360, Philadelphia, PA",3264,223,346,95,147,74,16,23,110,68,73,62,0,10,1861,160,911,222,16,23,426,224,496,137,12,19,1057,135,695,144,26,27,210,108,126,61,0,10
14000US42101036100,"Census Tract 361, Philadelphia, PA",3531,299,485,149,431,142,54,47,0,10,0,10,0,10,2679,235,1886,258,297,148,354,210,44,49,98,117,367,110,350,108,0,10,0,10,17,27,0,10
14000US42101036201,"Census Tract 362.01, Philadelphia, PA",4746,434,513,210,507,210,6,9,0,15,0,15,0,15,3365,330,2997,335,161,107,159,142,9,15,39,39,868,96,712,95,58,67,90,91,0,15,8,13
14000US42101036202,"Census Tract 362.02, Philadelphia, PA",5862,527,1056,216,934,216,71,90,51,60,0,15,0,15,3656,375,3121,344,320,193,186,161,29,49,0,15,1150,125,1097,126,0,15,49,55,4,18,0,15
14000US42101036203,"Census Tract 362.03, Philadelphia, PA",4665,235,753,181,680,178,41,49,32,53,0,15,0,15,3032,165,2771,189,110,119,93,73,58,62,0,15,880,107,763,93,45,61,72,68,0,15,0,15
14000US42101036301,"Census Tract 363.01, Philadelphia, PA",3717,306,610,98,465,121,0,10,74,76,56,65,15,21,2471,252,1754,225,148,124,241,206,251,122,77,85,636,97,527,91,0,10,26,30,83,50,0,10
14000US42101036302,"Census Tract 363.02, Philadelphia, PA",3308,333,628,169,550,195,41,44,37,55,0,10,0,10,2288,247,1698,298,233,93,342,220,0,10,15,24,392,90,321,72,14,17,43,48,0,10,14,24
14000US42101036303,"Census Tract 363.03, Philadelphia, PA",6291,443,1266,202,1210,185,0,15,56,90,0,15,0,15,3925,367,3519,349,0,15,300,253,21,33,85,101,1100,141,987,131,0,15,113,100,0,15,0,15
14000US42101036400,"Census Tract 364, Philadelphia, PA",1017,320,13,30,0,10,13,30,0,10,0,10,0,10,596,276,416,183,98,101,71,43,11,16,0,10,408,110,377,116,19,21,12,13,0,10,0,10
14000US42101036501,"Census Tract 365.01, Philadelphia, PA",4965,422,805,176,653,199,29,44,30,44,93,149,0,15,3099,311,2372,350,109,105,386,175,232,171,0,15,1061,186,834,175,7,17,194,102,13,22,13,22
